id,state,capital
1,Abia,Umuahia
2,Adamawa,Yola
3,Akwa Ibom,Uyo
4,Anambra,Awka
5,Bauchi,Bauchi
6,Bayelsa,Yenagoa
7,Benue,Makurdi
8,Borno,Maiduguri
9,Cross River,Calabar
10,Delta,Asaba
11,Ebonyi,Abakaliki
12,Edo,Benin City
13,Ekiti,Ado Ekiti
14,Enugu,Enugu
15,FCT,Abuja
16,Gombe,Gombe
17,Imo,Owerri
18,Jigawa,Dutse
19,Kaduna,Kaduna
20,Kano,Kano
21,Katsina,Katsina
22,Kebbi,Birnin Kebbi
23,Kogi,Lokoja
24,Kwara,Ilorin
25,Lagos,Ikeja
26,Nasarawa,Lafia
27,Niger,Minna
28,Ogun,Abeokuta
29,Ondo,Akure
30,Osun,Oshogbo
31,Oyo,Ibadan
32,Plateau,Jos
33,Rivers,Port Harcourt
34,Sokoto,Sokoto
35,Taraba,Jalingo
36,Yobe,Damaturu
37,Zamfara,Gusau
